Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02 00:00:00-05:00,1.5734460525971092,1.5734460525971092,1.5557667016983032,1.5557667016983032,407940,0.0,0.0
1962-01-03 00:00:00-05:00,1.5557658790559301,1.5693652629852295,1.5557658790559301,1.5693652629852295,305955,0.0,0.0
1962-01-04 00:00:00-05:00,1.5693644959664628,1.5693644959664628,1.5530452839250652,1.553725242614746,274575,0.0,0.0
1962-01-05 00:00:00-05:00,1.5516866241581055,1.5516866241581055,1.5204080941549627,1.5231280326843262,384405,0.0,0.0
1962-01-08 00:00:00-05:00,1.5217675939305704,1.5217675939305704,1.4823295617851908,1.4945688247680664,572685,0.0,0.0
1962-01-09 00:00:00-05:00,1.501367308286431,1.5312859892964505,1.501367308286431,1.51224684715271,517770,0.0,0.0
1962-01-10 00:00:00-05:00,1.5149682760238647,1.5217678677935866,1.5149682760238647,1.5149682760238647,313800,0.0,0.0
1962-01-11 00:00:00-05:00,1.5190479809111783,1.5312875509262085,1.5190479809111783,1.5312875509262085,337335,0.0,0.0
1962-01-12 00:00:00-05:00,1.5340063571929932,1.544885696357838,1.5340063571929932,1.5340063571929932,462855,0.0,0.0
1962-01-15 00:00:00-05:00,1.539446750455352,1.544206667381217,1.539446750455352,1.540806770324707,266730,0.0,0.0
1962-01-16 00:00:00-05:00,1.5394480201798433,1.5394480201798433,1.5244888067245483,1.5244888067245483,266730,0.0,0.0
1962-01-17 00:00:00-05:00,1.5176880458940303,1.5176880458940303,1.4959290494140676,1.5000087022781372,439320,0.0,0.0
1962-01-18 00:00:00-05:00,1.5040885210037231,1.5190477215939162,1.5040885210037231,1.5040885210037231,392250,0.0,0.0
1962-01-19 00:00:00-05:00,1.5040891205417541,1.508168774653966,1.487769791880552,1.5054489374160767,423630,0.0,0.0
1962-01-22 00:00:00-05:00,1.5054488954277165,1.5204083050527424,1.5013691396846707,1.502729058265686,290265,0.0,0.0
1962-01-23 00:00:00-05:00,1.5020486915958362,1.5040885687759367,1.4850494098612457,1.4877692461013794,392250,0.0,0.0
1962-01-24 00:00:00-05:00,1.4877696459869547,1.4959293603897095,1.4802900943162185,1.4959293603897095,431475,0.0,0.0
