"time","cf"
759,740
760,2200
761,240
762,160
763,530
764,1000
765,160
766,200
767,520
768,3000
769,1800
770,2100
771,7900
772,2600
773,5500
774,960
775,920
776,1100
777,760
778,530
779,280
780,1900
781,620
782,1600
783,1100
784,2000
785,320
786,70
787,50
788,660
789,2000
790,480
791,8200
792,500
793,1700
794,630
795,530
796,850
797,680
798,540
799,250
800,65
801,90
802,1100
803,1600
804,400
805,1000
806,600
807,700
808,720
809,10000
810,30
811,55
812,40
813,5
814,180
815,320
816,70
817,32000
818,700
819,290
820,390
821,370
822,45
823,60
824,90
825,420
826,1300
827,160
828,33
829,170
830,110
831,27
832,90
833,190
834,70
835,120
836,10
837,2800
838,140
839,510
840,400
841,110
842,1400
843,140
844,150
845,420
846,1800
847,80
848,20
849,180
850,1600
851,27
852,1000
853,500
854,520
855,110
856,40
857,1600
858,290
859,380
860,10
861,10
862,340
863,210
864,590
865,230
866,320
867,420
868,210
869,330
870,510
871,170
872,60
873,13
874,790
875,100
876,5
877,5
878,5
879,190
880,30
881,11000
882,1200
883,420
884,320
885,1000
886,530
887,2200
888,1600
889,500
890,69000
891,380
892,450
893,940
894,1700
895,3100
896,440
897,940
898,87
899,55000
900,7300
901,570
902,460
903,130
904,4800
905,470
906,330
907,110
908,270
909,2700
910,320
911,3200
912,3400
913,100
914,70
915,620
916,1800
917,280
918,640
919,1100
920,880
921,2900
922,620
923,330
924,150
925,120
926,1400
927,360
928,280
929,90
930,120
931,480
932,60
933,160
934,20
935,25
