Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
1980-12-15,0.12221000343561172,0.12221000343561172,0.12165199965238571,0.12165199965238571,0.09413711726665497,175884800,-0.05217096716164327
1980-12-16,0.1132809966802597,0.1132809966802597,0.11272300034761429,0.11272300034761429,0.08722766488790512,105728000,-0.07339774766182794
1980-12-17,0.11551299691200256,0.11607100069522858,0.11551299691200256,0.11551299691200256,0.08938664942979813,86441600,0.02475114454419347
1980-12-18,0.11886200308799744,0.11941999942064285,0.11886200308799744,0.11886200308799744,0.09197817742824554,73449600,0.02899233850892613
1980-12-19,0.12611599266529083,0.12667399644851685,0.12611599266529083,0.12611599266529083,0.09759147465229034,48630400,0.061028576353601593
1980-12-22,0.1322540044784546,0.1328130066394806,0.1322540044784546,0.1322540044784546,0.10234126448631287,37363200,0.048670130776746534
1980-12-23,0.13783499598503113,0.13839299976825714,0.13783499598503113,0.13783499598503113,0.1066599041223526,46950400,0.04219841974511951
1980-12-24,0.14508900046348572,0.14564700424671173,0.14508900046348572,0.14508900046348572,0.11227323114871979,48003200,0.052628277444614735
1980-12-26,0.15848200023174286,0.15904000401496887,0.15848200023174286,0.15848200023174286,0.12263711541891098,55574400,0.09230948610059109
1980-12-29,0.16071400046348572,0.16127200424671173,0.16071400046348572,0.16071400046348572,0.12436424940824509,93161600,0.014083289413930444
1980-12-30,0.15736599266529083,0.15736599266529083,0.156808003783226,0.156808003783226,0.12134168297052383,68880000,-0.02430414248550805
1980-12-31,0.1529020071029663,0.1529020071029663,0.1523440033197403,0.1523440033197403,0.11788737773895264,35750400,-0.028467589594997733
1981-01-02,0.15401799976825714,0.15513400733470917,0.15401799976825714,0.15401799976825714,0.11918269842863083,21660800,0.010987781003548358
1981-01-05,0.15122799575328827,0.15122799575328827,0.15067000687122345,0.15067000687122345,0.1165919229388237,35728000,-0.021737848898920054
1981-01-06,0.1445309966802597,0.1445309966802597,0.1439729928970337,0.1439729928970337,0.11140963435173035,45158400,-0.044448092599111866
